Date,Open,High,Low,Close,Volume,Company
04-01-2020,102.6100006,105.3700027,102,105.3499985,67649400,APPLE
05-01-2020,105.75,105.8499985,102.4100037,102.7099991,55791000,APPLE
06-01-2020,100.5599976,102.3700027,99.87000275,100.6999969,68457400,APPLE
07-01-2020,98.68000031,100.1299973,96.43000031,96.44999695,81094400,APPLE
08-01-2020,98.55000305,99.11000061,96.76000214,96.95999908,70798000,APPLE
11-01-2020,98.97000122,99.05999756,97.33999634,98.52999878,49739400,APPLE
12-01-2020,100.5500031,100.6900024,98.83999634,99.95999908,49154200,APPLE
13-01-2020,100.3199997,101.1900024,97.30000305,97.38999939,62439600,APPLE
14-01-2020,97.95999908,100.4800034,95.73999786,99.51999664,63170100,APPLE
15-01-2020,96.19999695,97.70999908,95.36000061,97.12999725,79833900,APPLE
19-01-2020,98.41000366,98.65000153,95.5,96.66000366,53087700,APPLE
20-01-2020,95.09999847,98.19000244,93.41999817,96.79000092,72334400,APPLE
21-01-2020,97.05999756,97.87999725,94.94000244,96.30000305,52161500,APPLE
22-01-2020,98.62999725,101.4599991,98.37000275,101.4199982,65800500,APPLE
25-01-2020,101.5199966,101.5299988,99.20999908,99.44000244,51794500,APPLE
26-01-2020,99.93000031,100.8799973,98.06999969,99.98999786,75077000,APPLE
27-01-2020,96.04000092,96.62999725,93.33999634,93.41999817,133369700,APPLE
28-01-2020,93.79000092,94.51999664,92.38999939,94.08999634,55678800,APPLE
29-01-2020,94.79000092,97.33999634,94.34999847,97.33999634,64416500,APPLE
01-02-2020,96.47000122,96.70999908,95.40000153,96.43000031,40943500,APPLE
02-02-2020,95.41999817,96.04000092,94.27999878,94.48000336,37357200,APPLE
03-02-2020,95,96.83999634,94.08000183,96.34999847,45964300,APPLE
04-02-2020,95.86000061,97.33000183,95.19000244,96.59999847,46471700,APPLE
05-02-2020,96.51999664,96.91999817,93.69000244,94.01999664,46418100,APPLE
08-02-2020,93.12999725,95.69999695,93.04000092,95.01000214,54021400,APPLE
09-02-2020,94.29000092,95.94000244,93.93000031,94.98999786,44331200,APPLE
10-02-2020,95.91999817,96.34999847,94.09999847,94.26999664,42343600,APPLE
11-02-2020,93.79000092,94.72000122,92.58999634,93.69999695,50074700,APPLE
12-02-2020,94.19000244,94.5,93.01000214,93.98999786,40351400,APPLE
16-02-2020,95.01999664,96.84999847,94.61000061,96.63999939,49057900,APPLE
